Measure,Slot,VIBRA LEFT 1,VIBRA RIGHT 1,VIBRA LEFT 2,VIBRA RIGHT 2,VIBRA LEFT 3,VIBRA RIGHT 3,VIBRA LEFT 4,VIBRA RIGHT 4,VIBRA LEFT 5,VIBRA RIGHT 5,VIBRA LEFT 6,VIBRA RIGHT 6,VIBRA LEFT 7,VIBRA RIGHT 7,VIBRA LEFT 8,VIBRA RIGHT 8,VIBRA LEFT 9,VIBRA RIGHT 9,VIBRA LEFT 10,VIBRA RIGHT 10,VIBRA LEFT 11,VIBRA RIGHT 11,CYMBAL L,CYMBAL R,KICK L,KICK R,SNARE L,SNARE R,HIHAT L,HIHAT R,BASS L 1,BASS R 1,BASS L 2,BASS R 2,BASS L 3,BASS R 3,BASS L 4,BASS R 4
,,CHANNEL 1,CHANNEL 2,CHANNEL 3,CHANNEL 4,CHANNEL 5,CHANNEL 6,CHANNEL 7,CHANNEL 8,CHANNEL 9,CHANNEL 10,CHANNEL 11,CHANNEL 12,CHANNEL 13,CHANNEL 14,CHANNEL 15,CHANNEL 16,CHANNEL 17,CHANNEL 18,CHANNEL 19,CHANNEL 20,CHANNEL 21,CHANNEL 22,CHANNEL 23,CHANNEL 24,CHANNEL 25,CHANNEL 26,CHANNEL 27,CHANNEL 28,CHANNEL 29,CHANNEL 30,CHANNEL 31,CHANNEL 32,CHANNEL 33,CHANNEL 34,CHANNEL 35,CHANNEL 36,CHANNEL 37,CHANNEL 38
BAR,1,NOTE HERE,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,NOTE HERE,,,,,,NOTE HERE,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAT,5,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,NOTE HERE,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,NOTE HERE,,,,,,NOTE HERE,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAT,9,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,,,,,,,,,,
